ip_address,MTU,"Внутренняя температура (CPE (Eltex), Основной)",Время работы Eltex,Двусторонний коэффициент потерь пакетов класс PRE (IPP7),Двусторонний коэффициент потерь пакетов класс REA (IPP5),Двусторонний коэффициент потерь пакетов класс STD (IPP1),Двусторонняя вариация времени задержки класс PRE (IPP7),Двусторонняя вариация времени задержки класс REA (IPP5),Двусторонняя вариация времени задержки класс STD (IPP1),Двусторонняя задержка передачи пакетов класс PRE (IPP7),Двусторонняя задержка передачи пакетов класс REA (IPP5),Двусторонняя задержка передачи пакетов класс STD (IPP1),Двусторонняя сетевая задержка (сред.),Джиттер,Доступность,Доступность от соседнего Eltex,Загрузка канала (UDP трафик) в момент измерения пропускной способности (передача) / Измерять только в нерабочее время,Загрузка канала (UDP трафик) в момент измерения пропускной способности (прием) /  Измерять только в нерабочее время,Загрузка канала (входящая)[new],Загрузка канала (исходящая)[new],"Загрузка канала (передача), Кбит/с","Загрузка канала (прием), Кбит/с",Загрузка оперативной памяти CPE,Загрузка процессора CPE,"Коэффициент загрузки канала (передача), %","Коэффициент загрузки канала (прием), %",Потеря пакетов,Проверка фрагментации пакетов,Пропускная способность (передача),"Пропускная способность (передача), %",Пропускная способность (прием),"Пропускная способность (прием), %",Среднее время отклика,"Статус Downlink порта до СКЗИ (CPE Eltex, Основной)","Статус Uplink порта (CPE Eltex, Основной)",Тест доступности (ICMP Echo),timestamp,target
172.16.15.150,1800.0,55.0,333260.0,0.0,0.0,0.0,1.8,1.5433333333333332,0.07333333333333335,24.876666666666665,22.113333333333333,23.933333333333334,23.933333333333334,0.03333333333333333,1.0,1.0,,,17453.567737071677,14207.30650329565,120.71666666666665,131.02166666666668,61.0,3.5,0.7866666666666667,0.8533333333333334,0.0,1.0,15779.0,100.0,15742.0,100.0,26.058823529411764,2.0,2.0,100.0,2024-12-01 05:00:00,0
172.16.15.150,1800.0,55.0,333320.0,0.0,0.0,0.0,2.768333333333333,1.0050000000000001,0.115,24.415000000000003,22.175,23.838333333333335,23.838333333333335,0.06666666666666667,1.0,1.0,,,17393.652972485714,12334.129077657912,117.385,169.64166666666668,61.0,3.5,0.765,1.1033333333333333,0.0,1.0,15779.0,100.0,15742.0,100.0,26.033333333333335,2.0,2.0,100.0,2024-12-01 05:30:00,0
172.16.15.150,1800.0,55.0,333320.0,0.0,0.0,0.0,1.8066666666666666,0.63,0.08833333333333333,24.30666666666667,22.055000000000003,20.286666666666665,20.286666666666665,0.06666666666666667,1.0,1.0,,,17981.689516246814,12932.504585811706,118.49666666666667,209.285,61.0,3.25,0.7733333333333334,1.3633333333333333,0.6666666666666666,1.0,15779.0,100.0,15742.0,100.0,26.205882352941178,2.0,2.0,100.0,2024-12-01 06:00:00,0
172.16.15.150,1800.0,55.0,333380.0,0.0,0.0,0.0,1.2783333333333333,1.445,0.125,21.67833333333333,23.243333333333336,23.831666666666667,23.831666666666667,0.36666666666666664,1.0,1.0,,,16899.716111405854,11931.41541412634,101.305,124.50166666666667,61.0,3.0,0.66,0.8099999999999999,0.0,1.0,15779.0,100.0,15742.0,100.0,26.366666666666667,2.0,2.0,100.0,2024-12-01 06:30:00,0
172.16.15.150,1800.0,55.5,333380.0,0.0,0.0,0.0,1.61,2.5100000000000002,0.09833333333333334,21.338333333333335,22.44666666666667,20.451666666666664,20.451666666666664,0.0,1.0,1.0,,,17661.41193659412,12235.788782915219,102.51666666666667,205.50833333333333,61.0,3.5,0.6683333333333333,1.3366666666666667,0.0,1.0,15779.0,100.0,15742.0,100.0,26.03448275862069,2.0,2.0,100.0,2024-12-01 07:00:00,0
172.16.15.150,1800.0,55.0,333440.0,0.0,0.0,0.0,1.7899999999999998,1.8266666666666664,0.555,23.465,22.7,25.415000000000003,25.415000000000003,0.0,1.0,1.0,,,17981.490342078956,12220.952118984469,111.59833333333334,165.47,61.0,3.5,0.7266666666666667,1.0766666666666667,0.0,1.0,15779.0,100.0,15742.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 07:30:00,0
172.16.15.150,1800.0,55.0,333440.0,0.0,0.0,0.0,3.457142857142857,1.2042857142857142,0.09857142857142856,24.400000000000002,23.72714285714286,24.011428571428574,24.011428571428574,0.02857142857142857,1.0,1.0,,,31632.853427587732,14623.432227239096,111.38142857142859,256.17285714285714,61.0,3.25,0.7257142857142858,1.6671428571428575,0.0,1.0,15709.0,100.0,15623.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 08:00:00,0
172.16.15.150,1800.0,55.0,333500.0,0.0,0.0,0.0,2.815,2.0966666666666667,0.115,26.86,23.950000000000003,22.575,22.575,0.06666666666666667,1.0,1.0,,,22931.946224426127,12868.30350249313,98.98833333333334,164.09333333333333,61.0,3.25,0.6433333333333333,1.07,0.0,1.0,15709.0,100.0,15623.0,100.0,26.133333333333333,2.0,2.0,100.0,2024-12-01 08:30:00,0
172.16.15.150,1800.0,55.0,333500.0,0.0,0.0,0.0,3.723333333333333,1.1866666666666668,0.115,25.67,23.551666666666666,23.88,23.88,0.23333333333333334,1.0,1.0,,,30982.308716234438,13726.11238647305,79.026,122.13,61.0,3.25,0.512,0.7939999999999999,0.0,1.0,15709.0,100.0,15623.0,100.0,26.09090909090909,2.0,2.0,100.0,2024-12-01 09:00:00,0
172.16.15.150,1800.0,55.0,333560.0,0.0,0.0,0.0,2.5916666666666672,1.6316666666666666,0.10333333333333333,23.855,25.338333333333335,23.871666666666666,23.871666666666666,0.03333333333333333,1.0,1.0,,,18353.067740277802,15505.392374939425,100.44666666666667,178.51666666666668,61.0,3.5,0.6533333333333333,1.1633333333333333,0.0,1.0,15709.0,100.0,15623.0,100.0,26.066666666666666,2.0,2.0,100.0,2024-12-01 09:30:00,0
172.16.15.150,1800.0,55.0,333560.0,0.0,0.0,0.0,0.945,7.448333333333333,0.065,23.561666666666667,25.195000000000004,24.905,24.905,0.06666666666666667,1.0,1.0,,,19534.354529580665,13578.679458529787,123.91166666666668,185.81500000000003,61.0,3.5,0.8066666666666666,1.21,0.0,1.0,15709.0,100.0,15623.0,100.0,26.133333333333333,2.0,2.0,100.0,2024-12-01 10:00:00,0
172.16.15.150,1800.0,55.0,333620.0,0.0,0.0,0.0,2.2,1.122,0.5483333333333332,23.398,25.262,22.728333333333335,22.728333333333335,0.1724137931034483,1.0,1.0,,,18849.33088030447,12957.444722576227,92.68,142.07166666666666,61.0,3.5,0.6033333333333334,0.9250000000000002,0.0,1.0,15709.0,100.0,15623.0,100.0,26.06896551724138,2.0,2.0,100.0,2024-12-01 10:30:00,0
172.16.15.150,1800.0,55.0,333620.0,0.0,0.0,0.0,1.445,3.3683333333333336,0.084,22.290000000000003,22.146666666666665,23.47,23.47,0.0,1.0,1.0,,,19569.519559117136,13150.678876617005,134.43,216.42999999999998,61.0,3.5,0.875,1.4083333333333332,0.0,1.0,15709.0,100.0,15623.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 11:00:00,0
172.16.15.150,1800.0,55.0,333680.0,0.0,0.0,0.0,0.5983333333333333,0.19166666666666665,0.105,25.451666666666668,23.876666666666665,20.43,20.43,0.0,1.0,1.0,,,18693.87624089762,13107.260951496688,97.02166666666666,164.96166666666667,61.0,3.25,0.63,1.075,0.0,1.0,15709.0,100.0,15623.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 11:30:00,0
172.16.15.150,1800.0,55.0,333680.0,0.0,0.0,0.0,2.6333333333333333,3.5583333333333336,0.08166666666666667,25.040000000000003,23.75,23.683333333333334,23.683333333333334,0.21212121212121213,1.0,1.0,,,24163.114034813778,15845.736231812967,91.19666666666667,161.97666666666666,61.0,3.5,0.595,1.0533333333333335,0.0,1.0,15533.0,100.0,15730.0,100.0,26.1,2.0,2.0,100.0,2024-12-01 12:00:00,0
172.16.15.150,1800.0,55.0,333740.0,0.0,0.0,0.0,0.5783333333333334,2.0966666666666667,0.08666666666666667,21.65833333333333,23.19333333333333,23.60666666666667,23.60666666666667,0.0,1.0,1.0,,,17321.916525603705,12074.591724224443,100.93,169.11833333333334,61.0,3.5,0.6566666666666666,1.1016666666666668,0.0,1.0,15533.0,100.0,15730.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 12:30:00,0
