equipment,ip_address,incident_time
23012-Eltex2,172.20.11.30,2024-10-10 22:35:14
23012-Eltex2,172.20.11.30,2024-10-10 22:35:14
86052-s-terra1,198.18.33.54,2024-10-10 22:53:14
62004-Eltex2,172.20.12.2,2024-10-10 22:53:13
23012-Eltex2,172.20.11.30,2024-10-10 22:59:14
23012-Eltex2,172.20.11.30,2024-10-10 22:59:14
23050-s-terra1,198.18.29.154,2024-10-10 23:01:11
75002-Eltex2,172.20.23.82,2024-10-10 23:08:13
77245-Eltex1,172.16.1.242,2024-10-10 23:12:11
23012-Eltex2,172.20.11.30,2024-10-10 23:19:14
57008-Eltex2,172.20.31.162,2024-10-10 23:20:14
23012-Eltex2,172.20.11.30,2024-10-10 23:24:15
66056-Eltex2,172.20.28.138,2024-10-10 23:27:16
77090-Eltex2,172.20.1.106,2024-10-10 22:10:33
72034-Eltex2,172.20.19.98,2024-10-10 23:39:17
